id_kabupaten,nama_kabupaten,frekuensi_gempa,depth_mean,mag_max,mag_mean,korban_total,rumah_rusak_total,fasum_rusak_total
IDN.18.5_1,HalmaheraUtara,185.0,27.9027027027027,5.484661032,3.338389483735135,57.0,790.0,27.0
IDN.18.6_1,KepulauanSula,16.0,32.9375,5.201586297,4.04592903975,0.0,0.0,0.0
IDN.18.7_1,PulauMorotai,273.0,143.52747252747253,5.211431268,4.021338858014652,64.0,742.0,27.0
IDN.18.8_1,Ternate,21.0,23.047619047619047,5.2107961,3.8982768671904764,2.0,888.0,28.0
IDN.18.9_1,TidoreKepulauan,16.0,42.4375,4.979274502,3.0600995981875,0.0,0.0,0.0
IDN.20.1_1,Bima,543.0,61.97790055248619,5.21348957,3.013627255237569,0.0,0.0,0.0
IDN.20.2_1,Dompu,723.0,91.42876901798064,6.1679738,3.065614109197787,121.0,9320.0,78.0
IDN.20.3_1,KotaBima,22.0,111.31818181818181,4.372965473,2.780068573863636,112.0,8487.0,220.0
IDN.20.4_1,LombokBarat,107.0,63.0,4.458361014,2.9329045491214956,501.0,79695.0,72.0
IDN.20.5_1,LombokTengah,328.0,42.5030487804878,4.485992882,2.818715232496951,6.0,25334.0,22.0
IDN.20.6_1,LombokTimur,287.0,23.428571428571427,5.401364867,2.9132985241010454,541.0,30823.0,1211.0
